"Data Source","World Development Indicators",

"Last Updated Date","2018-10-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Albania","ALB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Andorra","AND","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000397025482612827","0.000397781363957158","0.000356123073359803","0.000327088857959439","0.000309416096393593","0.000296149853445743","0.00028110928651117","0.000796600412876157","0.000737830892772363","0.00629283907438366","0.0497049299272842","0.0947024856438188","0.0846015776538584","0.113042609348961","0.134836736704171","0.129308124960755","0.127293726138148","0.164995978217142","0.165959527329323","0.204184723941989","0.285971376927516","0.282033900268994","0.25388382301968","0.35538478810354","0.418328270760565","0.454258660053111","","",
"United Arab Emirates","ARE","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0941424563649715","0.258307016339421","0.23240111175667","","",
"Argentina","ARG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","0.241280054182188","0.292420769777918","0.2137954315292","0.207513416815742","0.211294005384589","0.188641779189833","0.188196094159751","0.182449004007896","0.247071012991153","0.2417770614013","0.216277453075517","0.273278844707416","0.348812873520452","0.211270737890851","0.256268640229758","0.218353978327857","0.207536655200907","0.231596677257589","0.235592247233276","0.210878990934174","0.186487141711579","0.182530734954636","0.173769000909445","0.186026322724666","0.17458777885548","0.520908073357633","0.637638662203657","0.672863859914609","0.709607665254079","0.79631087616691","0.745713810131499","1.11422921625046","1.21047484515919","1.24494583936505","1.2911054023566","1.61693288044241","1.57147511986222","1.33054833722575","1.14994381515596","1.77227114151825","1.66338620663039","2.02909450183223","2.11535972619681","1.96826453938701","1.89849403616245","","",
"Armenia","ARM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0508646998982706","0.0346620450606586","0.0705342973020631","0.107841626867971","0.0403768506056528","0.0497760079641613","0.0518806744487678","0.0516129032258065","0.0512886267470189","","",
"American Samoa","ASM","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Electricity production from renewable sources, excluding hydroelectric (% of total)","EG.ELC.RNWX.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
