Year,Total,Coal (terawatt-hours),Crude oil (terawatt-hours),Natural gas (terawatt-hours)
1800,97.2223,97.2223,0,0
1810,127.77788,127.77788,0,0
1820,152.7779,152.7779,0,0
1830,263.8891,263.8891,0,0
1840,355.55584,355.55584,0,0
1850,569.4449,569.4449,0,0
1860,1061.11196,1061.11196,0,0
1870,1647.22354,1641.66798,5.55556,0
1880,2575.00206,2541.6687,33.33336,0
1890,3977.78096,3855.55864,88.88896,33.33336
1900,5972.227,5727.78236,180.5557,63.88894
1910,9194.4518,8655.56248,397.22254,141.66678
1920,10955.56432,9833.3412,888.8896,233.33352
1930,12483.34332,10125.0081,1755.55696,602.77826
1940,15113.90098,11586.12038,2652.7799,875.0007
1950,20138.905,12602.78786,5444.4488,2091.66834
1960,31011.13592,15441.67902,11097.2311,4472.2258
1965,40886.74377,16322.44092,17740.36827,6823.934577
1966,43043.23946,16512.65763,19104.36441,7426.217421
1967,44677.57397,16247.40207,20468.91567,7961.256227
1968,47386.83199,16493.29564,22225.38535,8668.151001
1969,50649.0539,17008.4716,24130.44943,9510.132872
1970,53797.55474,17244.48525,26202.09329,10350.9762
1971,55934.05522,17139.94314,27745.80155,11048.31053
1972,58840.5821,17338.40421,29867.50948,11634.66841
1973,62222.63062,17862.41092,32206.67633,12153.54337
1974,62018.81299,17872.71335,31737.45207,12408.64757
1975,61974.94833,18217.78258,31379.57182,12377.59393
1976,65409.67898,18888.19275,33436.49447,13084.99176
1977,67495.94757,19444.22377,34563.85832,13487.86548
1978,69238.55074,19659.08926,35545.19876,14034.26272
1979,71612.88019,20578.43837,36132.25398,14902.18784
1980,70830.13976,21082.11321,34728.24131,15019.78524
1981,69998.85987,21381.08784,33444.6795,15173.09253
1982,69201.04418,21607.77129,32375.66169,15217.6112
1983,69847.1585,22272.26008,32152.29241,15422.60601
1984,72799.67743,23246.35751,32867.61133,16685.70859
1985,74278.92839,24158.77054,32881.90111,17238.25674
1986,75717.31727,24434.12552,33894.40315,17388.7886
1987,78262.84256,25407.0565,34567.92886,18287.8572
1988,81036.72326,26164.30397,35736.80678,19135.61251
1989,82772.88618,26428.58778,36334.02916,20010.26924
1990,83435.22502,26125.71752,36754.13661,20555.37089
1991,83729.17491,25837.70315,36780.36112,21111.11064
1992,84368.2132,25754.67743,37400.62836,21212.90741
1993,84375.4735,25881.25539,37073.19552,21421.02259
1994,85482.83121,26027.21237,37882.32542,21573.29342
1995,86844.50849,26166.42026,38352.69791,22325.39032
1996,89438.709,26827.282,39206.17407,23405.25293
1997,90438.59127,26868.04001,40179.75478,23390.79648
1998,90975.11414,26669.06593,40510.60205,23795.44616
1999,92539.09012,26808.32277,41336.84028,24393.92707
2000,94855.03004,27734.28347,41747.30842,25373.43815
2001,96124.47121,28174.87074,42148.06685,25801.53362
2002,98286.89135,29258.89831,42509.72115,26518.27189
2003,102587.555,31804.60749,43520.59623,27262.35127
2004,107398.9339,33987.20868,45173.20033,28238.52485
2005,111296.8542,36451.83029,45779.40114,29065.6228
2006,114567.7426,38307.76836,46336.15711,29923.81715
2007,118628.0932,40474.28993,47007.63802,31146.16529
2008,119808.8424,41035.15978,46814.2565,31959.42611
2009,117548.031,40427.43115,46004.24472,31116.35515
2010,123223.422,42282.4673,47513.45791,33427.49678
2011,126292.9562,44277.59112,47982.28,34033.08509
2012,127976.3619,44395.06224,48569.02647,35012.27319
2013,129816.268,45205.49828,49088.50592,35522.2638
2014,130456.4664,45233.99218,49483.64369,35738.83055
2015,131097.5161,44015.53033,50485.32693,36596.65882
2016,132051.5342,43403.14283,51384.22021,37264.17119
