Series Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"2005 PPP conversion factor, GDP (LCU per international $)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"2005 PPP conversion factor, private consumption (LCU per international $)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Access to clean fuels and technologies for cooking  (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.42724312,50.23107516,50.83731438,51.42755068,52.07464386,52.68429976,53.42743972,54.07094235,54.76164754,55.33122282,56.07083378,56.63512446,57.2704388,57.86976829,58.36854575,58.84984411,59.35241816,..
Access to electricity (% of population),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.39057697,71.59803124,72.58175875,73.23534541,73.52214957,74.02432109,75.1534537,75.85012567,76.50620569,77.60952303,77.72412264,77.28957645,78.82101904,79.45561203,79.68363562,80.37647262,81.20333368,81.74586361,82.27658046,83.20964673,83.53732377,82.50277472,85.06909989,85.18868922,85.71798276,87.05592296,87.37844318,..
"Access to electricity, rural (% of rural population)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.84805716,61.29032678,63.6780151,62.72401152,62.44646828,62.43829969,63.30574076,64.34408822,64.88141637,66.19610208,64.77599782,65.20920702,66.16952647,67.04401505,67.34161656,67.7812867,68.40775822,69.0526892,70.341995,71.11367496,71.41499156,69.1002639,73.61778437,74.21296599,74.31092124,77.91124958,77.48718142,..
"Access to electricity, urban (% of urban population)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92.82149421,92.77529401,93.01568267,92.97685649,93.39988631,93.57136317,93.73768296,94.03094086,94.0179138,94.49687437,94.33511855,94.14881261,94.53540717,94.70415186,94.7682703,94.97896443,95.1762989,95.44346481,95.4865264,95.84874249,95.65587528,95.8974447,96.1455382,96.24894249,96.34552154,96.52502342,96.90118112,..
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.6282692,..,..,62.00258255,..,..,68.51611328
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.62062073,..,..,58.46732712,..,..,64.84675598
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.7482605,..,..,65.57580566,..,..,72.26686096
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.4533844,..,..,66.18400574,..,..,71.9797821
